,t_idx,u_abs_eff_FLORIS,Ct_FLORIS,AI_FLORIS,TI_FLORIS,Power_FLORIS,power_OFF,time
0,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,0.0
1,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,0.0
2,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,4.0
3,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,4.0
4,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,8.0
5,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,8.0
6,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,12.0
7,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,12.0
8,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,16.0
9,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,16.0
10,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,20.0
11,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,20.0
12,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,24.0
13,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,24.0
14,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,28.0
15,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,28.0
16,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,32.0
17,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,32.0
18,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,36.0
19,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,36.0
20,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,40.0
21,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,40.0
22,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,44.0
23,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,44.0
24,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,48.0
25,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,48.0
26,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,52.0
27,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,52.0
28,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,56.0
29,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,56.0
30,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,60.0
31,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,60.0
32,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,64.0
33,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,64.0
34,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,68.0
35,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,68.0
36,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,72.0
37,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,72.0
38,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,76.0
39,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,76.0
40,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,80.0
41,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,80.0
42,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,84.0
43,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,84.0
44,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,88.0
45,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,88.0
46,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,92.0
47,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,92.0
48,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,96.0
49,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,96.0
50,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,100.0
51,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,100.0
52,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,104.0
53,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,104.0
54,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,108.0
55,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,108.0
56,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,112.0
57,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,112.0
58,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,116.0
59,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,116.0
